week,vteam,hteam,vscore,hscore,fspread,fscore,temp,wind_mph,vdflg,hdflg,divgame,nsite,vospread,hospread,ouopen,vcspread,hcspread,ouclose,vTOTAL.DVOA,vTOTAL.RNK,vOFF.RNK,vOFF.DVOA,vDEF.RNK,vDEF.DVOA,vST.RNK,vST.DVOA,hTOTAL.DVOA,hTOTAL.RNK,hOFF.RNK,hOFF.DVOA,hDEF.RNK,hDEF.DVOA,hST.RNK,hST.DVOA,vtsw,vtsl,vtst,htsw,htsl,htst,vtw,vtl,vtt,vts,htw,htl,htt,hts,sWinner,winner,ou
6,CIN,IND,27,31,-4,58,72,0,7,7,0,0,7.5,-7.5,46.5,7.5,-7.5,46,-16.4,30,27,-24.2,13,-0.8,9,2.3,13.1,6,25,-9.2,1,-24.3,2,8.6,3,2,0,3,2,0,1,3,1,-1,3,2,0,-1,-1,1,1
6,GB,TB,10,38,-28,48,86,15,13,10,0,0,2.5,-2.5,51.5,-2.5,2.5,55,7.3,9,1,31,29,10.3,8,3,14.8,4,10,7.1,2,-20.8,19,-1.4,4,0,0,2,2,1,4,0,0,4,3,2,0,-1,1,1,-1
6,LAR,SF,16,24,-8,40,83,6,7,7,1,0,3,-3,49,-2,2,51,12.7,7,4,22.3,8,-7.8,29,-4.7,1.9,11,24,-4.9,10,-2.3,13,0.9,3,2,0,2,3,0,4,1,0,2,2,3,0,-2,1,1,-1
6,NYJ,MIA,0,24,-24,24,82,14,7,7,1,0,9,-9,50,9,-9,46.5,-19.5,31,28,-24.7,24,6,27,-3.4,-8.4,25,15,5.3,27,7.3,6,4.6,0,5,0,3,2,0,0,5,0,-5,2,3,0,1,1,1,-1
6,DEN,NE,18,12,6,30,58,6,17,13,0,0,9.5,-9.5,46.5,7.5,-7.5,44,-16,29,30,-31,11,-1.8,26,-3,-0.7,16,19,2.4,22,4.5,16,-0.2,3,1,0,2,2,0,1,3,0,1,2,2,0,-1,-1,-1,-1
6,ARI,DAL,38,10,28,48,64,4,8,8,0,0,3,-3,52,1.5,-1.5,56,-0.7,15,20,1.5,19,3.7,15,0.2,-5.1,23,11,6.6,26,6.4,18,-1.4,3,2,0,0,5,0,3,2,0,1,2,3,0,1,-1,-1,-1
6,KC,BUF,26,17,9,43,50,3,14,6,0,0,-3.5,3.5,58,-5.5,5.5,54.5,22.2,1,2,25.6,9,-4.1,30,-5.3,7.1,10,5,19.3,21,4,10,2.2,3,1,0,3,2,0,4,0,0,4,4,1,0,-1,-1,-1,-1
7,NYG,PHI,21,22,-1,43,68,3,4,4,1,0,6.5,-6.5,45.5,5,-5,44.5,-15.3,28,32,-29,17,2.2,6,4.5,-9.4,25,28,-23,19,4.3,18,-0.9,3,2,1,2,4,0,1,5,0,1,1,4,1,-2,-1,1,-1
7,CLE,CIN,37,34,3,71,48,5,7,7,1,0,-4.5,4.5,51.5,-4.5,4.5,49.5,-8.9,24,23,-4.8,20,4.6,31,-6.8,-18.8,30,27,-22,18,3.8,12,1,3,3,0,4,2,0,4,2,0,-1,1,4,1,-2,1,-1,1
7,DAL,WAS,3,25,-22,28,46,6,6,7,1,0,-3,3,48,1.5,-1.5,44.5,-12,27,24,-5,28,10.2,25,-2.3,-19.9,31,30,-27.4,7,-8.5,23,-2.1,0,6,0,1,3,2,2,4,0,-1,1,5,0,-5,1,1,-1
7,DET,ATL,23,22,1,45,72,0,7,7,0,0,2,-2,56.5,1,-1,55,0.2,14,19,0.4,23,5.6,9,2.4,-2.8,20,22,-2.4,25,7.1,22,-1.5,2,3,0,2,4,0,2,3,0,1,1,5,0,1,-1,-1,-1
7,CAR,NO,24,27,-3,51,72,0,7,13,1,0,6.5,-6.5,51,7,-7,50.5,-8.3,23,15,4.1,21,5,19,-0.9,18,4,10,7.7,8,-8.3,5,4.7,3,3,0,2,3,0,3,3,0,-1,3,2,0,2,-1,1,1
